2023-09-28 23:50:34.394 [info] Log level: Info
2023-09-28 23:50:34.394 [info] Validating found git in: "git"
2023-09-28 23:50:34.416 [info] Using git "2.42.0" from "git"
2023-09-28 23:50:35.811 [info] > git rev-parse --show-toplevel [1379ms]
2023-09-28 23:50:36.952 [info] > git rev-parse --show-toplevel [43ms]
2023-09-28 23:50:36.990 [info] > git rev-parse --show-toplevel [26ms]
2023-09-28 23:50:37.010 [info] > git rev-parse --show-toplevel [10ms]
2023-09-28 23:50:37.027 [info] > git rev-parse --show-toplevel [5ms]
2023-09-28 23:50:37.040 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 23:50:37.117 [info] > git rev-parse --show-toplevel [66ms]
2023-09-28 23:50:37.144 [info] > git rev-parse --show-toplevel [17ms]
2023-09-28 23:50:37.160 [info] > git rev-parse --show-toplevel [5ms]
2023-09-28 23:50:37.179 [info] > git rev-parse --show-toplevel [8ms]
2023-09-28 23:50:37.193 [info] > git rev-parse --show-toplevel [3ms]
2023-09-28 23:50:37.207 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 23:50:37.220 [info] > git rev-parse --show-toplevel [3ms]
2023-09-28 23:50:37.233 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 23:50:37.245 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 23:50:37.258 [info] > git rev-parse --show-toplevel [1ms]
2023-09-28 23:50:37.269 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 23:50:37.281 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 23:50:37.296 [info] > git rev-parse --show-toplevel [1ms]
2023-09-28 23:50:37.310 [info] > git rev-parse --show-toplevel [1ms]
2023-09-28 23:50:37.324 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 23:50:37.335 [info] > git rev-parse --show-toplevel [1ms]
2023-09-28 23:50:37.347 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 23:50:37.359 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 23:50:37.371 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 23:50:37.383 [info] > git rev-parse --show-toplevel [1ms]
2023-09-28 23:50:46.258 [info] > git rev-parse --show-toplevel [5ms]
2023-09-29 00:18:25.465 [info] > git rev-parse --show-toplevel [197ms]
2023-09-29 00:23:09.530 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 02:07:57.941 [info] > git rev-parse --show-toplevel [178ms]
2023-09-29 02:09:35.392 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 02:14:56.672 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 02:28:48.561 [info] > git rev-parse --show-toplevel [8ms]
2023-09-29 02:28:49.915 [info] > git rev-parse --show-toplevel [2ms]
