2023-09-30 00:34:40.125 [info] Log level: Info
2023-09-30 00:34:40.126 [info] Validating found git in: "git"
2023-09-30 00:34:41.644 [info] Using git "2.42.0" from "git"
2023-09-30 00:34:43.096 [info] > git rev-parse --show-toplevel [1434ms]
2023-09-30 00:34:43.158 [info] > git rev-parse --show-toplevel [26ms]
2023-09-30 00:34:43.177 [info] > git rev-parse --show-toplevel [5ms]
2023-09-30 00:34:43.207 [info] > git rev-parse --show-toplevel [17ms]
2023-09-30 00:34:43.237 [info] > git rev-parse --show-toplevel [16ms]
2023-09-30 00:34:43.266 [info] > git rev-parse --show-toplevel [15ms]
2023-09-30 00:34:43.281 [info] > git rev-parse --show-toplevel [4ms]
2023-09-30 00:34:43.292 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 00:34:43.303 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 00:34:43.317 [info] > git rev-parse --show-toplevel [4ms]
2023-09-30 00:34:43.330 [info] > git rev-parse --show-toplevel [3ms]
2023-09-30 00:34:43.341 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 00:34:43.352 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 00:34:43.365 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 00:34:43.375 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 00:34:43.386 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 00:34:43.398 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 00:34:43.408 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 00:34:43.420 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 00:34:43.431 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 00:34:43.442 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 00:34:43.453 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 00:34:43.466 [info] > git rev-parse --show-toplevel [3ms]
2023-09-30 00:34:43.475 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 00:34:43.488 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 00:34:43.500 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 00:34:53.763 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 00:34:53.819 [info] > git rev-parse --show-toplevel [8ms]
2023-09-30 00:34:55.278 [info] > git rev-parse --show-toplevel [4ms]
2023-09-30 00:34:58.639 [info] > git rev-parse --show-toplevel [9ms]
2023-09-30 00:34:59.940 [info] > git rev-parse --show-toplevel [4ms]
2023-09-30 00:39:01.107 [info] > git rev-parse --show-toplevel [4ms]
2023-09-30 00:39:02.494 [info] > git rev-parse --show-toplevel [3ms]
2023-09-30 00:39:15.397 [info] > git rev-parse --show-toplevel [3ms]
2023-09-30 00:54:33.345 [info] > git rev-parse --show-toplevel [262ms]
2023-09-30 01:05:02.167 [info] > git rev-parse --show-toplevel [110ms]
2023-09-30 01:17:37.831 [info] > git rev-parse --show-toplevel [876ms]
2023-09-30 01:25:23.595 [info] > git rev-parse --show-toplevel [167ms]
2023-09-30 01:30:50.255 [info] > git rev-parse --show-toplevel [14ms]
