2023-09-30 12:02:18.019 [info] Log level: Info
2023-09-30 12:02:18.019 [info] Validating found git in: "git"
2023-09-30 12:02:18.743 [info] Using git "2.42.0" from "git"
2023-09-30 12:02:19.690 [info] > git rev-parse --show-toplevel [932ms]
2023-09-30 12:02:19.739 [info] > git rev-parse --show-toplevel [22ms]
2023-09-30 12:02:19.752 [info] > git rev-parse --show-toplevel [4ms]
2023-09-30 12:02:19.771 [info] > git rev-parse --show-toplevel [9ms]
2023-09-30 12:02:19.799 [info] > git rev-parse --show-toplevel [17ms]
2023-09-30 12:02:19.812 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 12:02:19.823 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 12:02:19.835 [info] > git rev-parse --show-toplevel [3ms]
2023-09-30 12:02:19.846 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 12:02:19.859 [info] > git rev-parse --show-toplevel [4ms]
2023-09-30 12:02:19.870 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 12:02:19.880 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 12:02:19.890 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 12:02:19.900 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 12:02:19.911 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 12:02:19.921 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 12:02:19.931 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 12:02:19.941 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 12:02:19.951 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 12:02:19.961 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 12:02:19.973 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 12:02:19.983 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 12:02:19.994 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 12:02:20.003 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 12:02:20.012 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 12:02:20.024 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 12:02:37.895 [info] > git rev-parse --show-toplevel [6ms]
2023-09-30 12:02:46.890 [info] > git rev-parse --show-toplevel [9ms]
2023-09-30 12:02:52.074 [info] > git rev-parse --show-toplevel [9ms]
2023-09-30 13:15:00.533 [info] > git rev-parse --show-toplevel [5ms]
2023-09-30 14:31:08.365 [info] > git rev-parse --show-toplevel [90ms]
2023-09-30 14:31:33.896 [info] > git rev-parse --show-toplevel [3ms]
2023-09-30 14:32:21.421 [info] > git rev-parse --show-toplevel [6ms]
2023-09-30 14:36:44.201 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 14:36:59.948 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 14:37:00.126 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 14:37:08.186 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 14:47:15.243 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 14:49:29.150 [info] > git rev-parse --show-toplevel [4ms]
2023-09-30 14:51:11.578 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 14:51:18.333 [info] > git rev-parse --show-toplevel [4ms]
2023-09-30 15:05:36.952 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 15:24:19.966 [info] > git rev-parse --show-toplevel [4ms]
2023-09-30 15:24:42.586 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 15:24:43.946 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 15:32:21.295 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 15:32:21.305 [info] > git rev-parse --show-toplevel [1ms]
2023-09-30 15:32:36.476 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 16:16:14.946 [info] > git rev-parse --show-toplevel [152ms]
2023-09-30 16:31:38.825 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 16:37:11.543 [info] > git rev-parse --show-toplevel [940ms]
2023-09-30 16:37:13.626 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 16:46:44.718 [info] > git rev-parse --show-toplevel [6ms]
2023-09-30 16:47:09.050 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 16:47:30.081 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 18:11:16.828 [info] > git rev-parse --show-toplevel [201ms]
2023-09-30 18:16:27.982 [info] > git rev-parse --show-toplevel [3ms]
2023-09-30 18:38:22.091 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 18:41:20.465 [info] > git rev-parse --show-toplevel [3ms]
2023-09-30 18:41:26.611 [info] > git rev-parse --show-toplevel [6ms]
2023-09-30 18:47:01.923 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 19:00:03.816 [info] > git rev-parse --show-toplevel [138ms]
2023-09-30 19:01:48.389 [info] > git rev-parse --show-toplevel [2ms]
2023-09-30 19:03:12.174 [info] > git rev-parse --show-toplevel [66ms]
2023-09-30 20:23:13.937 [info] > git rev-parse --show-toplevel [661ms]
